day,dai_name,dai_num,game,difference,bb,rb,Total,big_per,reg_per
2026-02-08,ゴーゴージャグラー3,553,7098,900,33,16,144.9,215.1,443.6
2026-02-08,ゴーゴージャグラー3,554,3529,-1000,11,6,207.6,320.8,588.2
2026-02-08,ゴーゴージャグラー3,555,5933,800,29,17,129.0,204.6,349.0
2026-02-08,ゴーゴージャグラー3,556,3250,-1100,9,10,171.1,361.1,325.0
2026-02-08,ゴーゴージャグラー3,557,2938,-100,12,6,163.2,244.8,489.7
2026-02-08,ゴーゴージャグラー3,558,7838,1400,35,28,124.4,223.9,279.9
2026-02-08,ゴーゴージャグラー3,559,4806,-800,15,15,160.2,320.4,320.4
2026-02-08,ゴーゴージャグラー3,560,4302,-1900,11,10,204.9,391.1,430.2
2026-02-08,ゴーゴージャグラー3,561,5002,-1500,16,10,192.4,312.6,500.2
2026-02-08,ゴーゴージャグラー3,562,8017,1800,37,32,116.2,216.7,250.5
2026-02-08,ゴーゴージャグラー3,563,7144,0,26,27,134.8,274.8,264.6
2026-02-08,ゴーゴージャグラー3,564,6086,-400,21,22,141.5,289.8,276.6
2026-02-08,ゴーゴージャグラー3,565,4713,-1300,15,13,168.3,314.2,362.5
2026-02-08,ゴーゴージャグラー3,566,5579,1400,26,18,126.8,214.6,309.9
2026-02-08,ゴーゴージャグラー3,567,4574,-900,15,14,157.7,304.9,326.7
2026-02-08,ゴーゴージャグラー3,568,4601,-1000,15,11,177.0,306.7,418.3
2026-02-08,ゴーゴージャグラー3,569,2203,-500,7,7,157.4,314.7,314.7
2026-02-08,ゴーゴージャグラー3,570,5862,1000,30,11,143.0,195.4,532.9
2026-02-08,ゴーゴージャグラー3,571,4915,-200,20,14,144.6,245.8,351.1
2026-02-08,ゴーゴージャグラー3,572,5480,-1400,18,12,182.7,304.4,456.7
2026-02-08,ネオアイムジャグラーEX,637,4539,-1300,13,9,206.3,349.2,504.3
2026-02-08,ネオアイムジャグラーEX,638,6588,-1100,21,15,183.0,313.7,439.2
2026-02-08,ネオアイムジャグラーEX,639,3280,-600,11,6,192.9,298.2,546.7
2026-02-08,ネオアイムジャグラーEX,640,7846,1100,33,22,142.7,237.8,356.6
2026-02-08,ネオアイムジャグラーEX,641,4468,100,19,8,165.5,235.2,558.5
2026-02-08,ネオアイムジャグラーEX,642,3843,-500,13,10,167.1,295.6,384.3
2026-02-08,ネオアイムジャグラーEX,643,5201,-200,20,11,167.8,260.1,472.8
2026-02-08,ネオアイムジャグラーEX,644,5513,0,21,14,157.5,262.5,393.8
2026-02-08,ネオアイムジャグラーEX,645,3591,-1900,5,11,224.4,718.2,326.5
2026-02-08,ネオアイムジャグラーEX,646,7552,-700,23,28,148.1,328.3,269.7
2026-02-08,ネオアイムジャグラーEX,647,7685,1600,36,20,137.2,213.5,384.2
2026-02-08,ネオアイムジャグラーEX,648,6404,-600,21,20,156.2,305.0,320.2
2026-02-08,ネオアイムジャグラーEX,649,2945,-1200,7,4,267.7,420.7,736.2
2026-02-08,ネオアイムジャグラーEX,650,6322,0,23,20,147.0,274.9,316.1
2026-02-08,ネオアイムジャグラーEX,651,2367,-1100,5,5,236.7,473.4,473.4
2026-02-08,ネオアイムジャグラーEX,652,4670,0,19,9,166.8,245.8,518.9
2026-02-08,ネオアイムジャグラーEX,653,7396,-1400,25,16,180.4,295.8,462.2
2026-02-08,マイジャグラーV,621,8281,1500,35,27,133.6,236.6,306.7
2026-02-08,マイジャグラーV,622,4780,-600,16,9,191.2,298.8,531.1
2026-02-08,マイジャグラーV,623,4520,-2200,7,14,215.2,645.7,322.9
2026-02-08,マイジャグラーV,624,4774,1200,22,15,129.0,217.0,318.3
2026-02-08,マイジャグラーV,625,7927,1600,35,27,127.9,226.5,293.6
2026-02-08,マイジャグラーV,626,5487,-400,20,9,189.2,274.4,609.7
2026-02-08,マイジャグラーV,627,3772,-1500,12,6,209.6,314.3,628.7
2026-02-08,マイジャグラーV,628,5567,-200,24,8,174.0,232.0,695.9
2026-02-08,マイジャグラーV,629,5071,-1200,17,9,195.0,298.3,563.4
2026-02-08,マイジャグラーV,630,5318,-1700,14,14,189.9,379.9,379.9
2026-02-08,マイジャグラーV,631,5902,-2000,15,14,203.5,393.5,421.6
2026-02-08,マイジャグラーV,632,6024,-1000,18,20,158.5,334.7,301.2
2026-02-08,マイジャグラーV,633,4265,-600,16,6,193.9,266.6,710.8
2026-02-08,マイジャグラーV,634,4914,-1300,15,12,182.0,327.6,409.5
2026-02-08,マイジャグラーV,635,5426,-1700,16,9,217.0,339.1,602.9
2026-02-08,マイジャグラーV,636,7846,1600,37,16,148.0,212.1,490.4
2026-02-08,かぐや様は告らせたい,417,1855,4300,17,5,84.3,109.1,371.0
